"Table 3. U.S. consumption of single, multiple, and secondary and micro nutrients ",,,,,,,,,
,,,,,,,,,
,Gross tons 1/,,,, ,Share of total,,,
1987,"17,144 ","24,145 ","1,675 ","42,964 ",,40 ,56 ,4 ,
1988,"17,574 ","25,106 ","1,847 ","44,527 ",,39 ,56 ,4 ,
1989,"17,573 ","25,189 ","2,025 ","44,787 ",,39 ,56 ,5 ,
1990,"18,367 ","26,943 ","2,395 ","47,705 ",,39 ,56 ,5 ,
1991,"17,796 ","26,792 ","2,702 ","47,290 ",,38 ,57 ,6 ,
1992,"18,073 ","27,449 ","2,272 ","47,794 ",,38 ,57 ,5 ,
1993,"18,450 ","28,290 ","2,458 ","49,198 ",,38 ,58 ,5 ,
1994,"18,852 ","30,724 ","2,742 ","52,318 ",,36 ,59 ,5 ,
1995,"18,637 ","29,501 ","2,604 ","50,742 ",,37 ,58 ,5 ,
1996,"19,628 ","30,786 ","3,184 ","53,598 ",,37 ,57 ,6 ,
1997,"19,593 ","31,630 ","3,792 ","55,015 ",,36 ,57 ,7 ,
1998,"19,295 ","31,425 ","4,234 ","54,954 ",,35 ,57 ,8 ,
1999," 	18,596 "," 	31,663 "," 	3,150 ","53,409 ",,35 ,59 ,6 ,
2000," 	18,755 "," 	31,719 "," 	3,066 ","53,540 ",,35 ,59 ,6 ,
2001," 	17,897 "," 	30,737 "," 	3,624 ","52,258 ",,34 ,59 ,7 ,
2002," 	19,156 "," 	30,647 "," 	3,196 ","52,999 ",,36 ,58 ,6 ,
2003," 	17,948 "," 	31,406 "," 	3,263 ","52,617 ",,34 ,60 ,6 ,
2004," 	20,126 "," 	34,250 "," 	3,454 ","57,830 ",,35 ,59 ,6 ,
2005," 	19,899 "," 	32,040 "," 	3,388 ","55,327 ",,36 ,58 ,6 ,
2006," 	19,624 "," 	30,742 "," 	3,520 ","53,886 ",,36 ,57 ,7 ,
2007," 	19,624 "," 	34,189 "," 	3,739 ","57,552 ",,34 ,59 ,6 ,
2008," 	17,213 "," 	33,129 "," 	4,509 ","54,851 ",,31 ,60 ,8 ,
2009," 	14,175 "," 	29,162 "," 	3,819 ","47,156 ",,30 ,62 ,8 ,
2010," 	16,891 "," 	33,461 "," 	5,287 ","55,639 ",,30 ,60 ,10 ,
2011," 	17,426 "," 	36,995 "," 	5,778 ","60,199 ",,29 ,61 ,10 ,
2012," 	17,174 "," 	37,796 "," 	6,124 ","61,094 ",,28 ,62 ,10 ,
2013," 	19,750 "," 	36,792 "," 	6,643 ","63,185 ",,30 ,60 ,10 ,
2014," 	19,254 "," 	37,870 "," 	6,936 ","64,060 ",,30 ,59 ,11 ,
1/ Includes Puerto Rico.,,,,,,,,,
"2/ Includes analyses of nitrogen-phosphate-potash, nitrogen-phosphate, nitrogen-potash, and phosphate-potash combinations.",,,,,,,,,
"Source: USDA, Economic Research Service using data from Tennessee Valley Authority (TVA), Association of American Plant Food Control Officials (AAPFCO), and The Fertilizer Institute (TFI).",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
