"Table 24. Phosphate used on soybeans, rate per fertilized acre receiving phosphate, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Mississippi,37,44,57,53,14,44,46,57,54,53,56,52,57,55,51,50,47,50,41,42,49,44,44,40,41,42,39,50,44,39,NA,46,42,53,47,48,45,NA,56,NA,NA,NA,37,NA,NA,NA,NA,NA,46,NA,NA,62
Missouri,22,39,30,31,34,43,29,30,37,34,43,38,43,41,43,49,47,57,45,49,58,44,46,43,49,41,41,43,43,37,44,54,54,44,50,45,68,45,44,NA,72,NA,46,NA,NA,NA,NA,NA,53,NA,NA,55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,29,23,36,27,24,44,43,33,34,29,29,15,37,44,50,36,47,32,29,33,29,27,27,27,24,36,40,32,31,32,36,38,43,42,37,29,40,36,47,NA,57,NA,43,NA,NA,NA,NA,NA,50,NA,NA,48
North Carolina,NA,NA,35,35,36,36,35,39,34,37,38,34,38,36,41,45,37,42,39,35,42,40,36,45,34,40,40,34,35,34,NA,45,NA,39,38,55,74,NA,51,NA,NA,NA,44,NA,NA,NA,NA,NA,45,NA,NA,47
North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,32,NA,48,NA,36,NA,NA,NA,NA,NA,37,NA,NA,39
Ohio,28,36,33,33,36,37,36,38,38,44,42,37,39,42,42,46,38,54,43,37,53,37,42,52,46,55,48,49,47,49,47,50,46,49,57,51,50,47,49,NA,68,NA,43,NA,NA,NA,NA,NA,52,NA,NA,51
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,NA,NA,44,46,42,42,42,42,46,42,40,40,45,43,NA,41,39,43,37,37,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,33,37,NA,NA,NA,36,35,45,35,NA,58,NA,66,NA,40,NA,NA,NA,NA,NA,47,NA,NA,40
Tennessee,NA,NA,32,36,38,34,36,42,44,44,42,41,43,50,48,46,45,42,43,48,43,45,44,53,44,43,42,44,60,53,NA,53,53,52,46,45,42,NA,57,NA,NA,NA,51,NA,NA,NA,NA,NA,53,NA,NA,67
Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,42,NA,NA,NA,NA,NA,45,NA,NA,49
Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,37,NA,35,NA,NA,NA,33,NA,NA,NA,NA,NA,35,NA,NA,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. average 1/,30,32,34,37,37,41,37,39,42,42,41,40,42,45,45,46,46,46,43,45,46,43,43,47,48,46,47,47,47,46,47,54,49,50,48,46,48,49,49,NA,69,NA,46,NA,NA,NA,NA,NA,49,NA,NA,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = Not available. Source data cover selected States in selected years; NA reflects State/crop/nutrient instances with no coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  U.S. average is average of State's application rates, weighted by State's planted acres receiving fertilizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Taylor (1964-93), NASS' Agricultural Chemical Usage (1994-2012).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
