"Table 32. Potash used on wheat, rate per fertilized acre receiving potash, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,
Mississippi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Missouri,26,27,32,36,34,41,40,40,41,53,46,44,43,49,54,56,62,57,55,59,55,51,65,57,69,67,71,59,54,61,60,70,NA,68,65,NA,67,NA,73,NA,78,NA,60,NA,NA,64,NA,NA,72,NA,NA,70,,,
Montana,3,1,NA,NA,1,1,4,4,6,9,8,5,22,27,9,21,21,18,19,19,11,11,11,9,22,12,14,9,16,13,10,15,13,15,12,NA,13,NA,17,NA,17,NA,15,NA,NA,9,NA,NA,18,NA,NA,13,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,NA,5,15,27,16,23,13,10,6,9,12,12,18,8,7,18,28,12,16,3,14,20,17,NA,NA,NA,NA,11,13,10,4,9,NA,NA,4,NA,NA,NA,35,NA,22,NA,18,NA,NA,17,NA,NA,14,NA,NA,17,,,
North Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,,,
North Dakota,9,10,7,10,8,11,8,9,12,11,10,9,13,15,13,18,15,17,NA,10,19,18,14,17,16,19,12,11,14,11,19,14,20,21,7,NA,16,NA,22,NA,21,NA,8,NA,NA,16,NA,NA,24,NA,NA,18,,,
Ohio,45,46,51,53,55,52,55,55,54,63,57,55,60,64,53,63,58,67,65,65,70,72,74,73,76,67,70,67,65,74,76,71,NA,82,71,NA,81,NA,72,NA,84,NA,71,NA,NA,64,NA,NA,63,NA,NA,71,,,
Oklahoma,21,9,13,13,12,11,12,11,11,35,15,12,12,17,12,15,14,29,17,18,16,19,27,19,13,22,25,26,21,22,36,17,48,17,11,NA,27,NA,46,NA,26,NA,23,NA,NA,11,NA,NA,14,NA,NA,16,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,17,NA,24,30,30,NA,14,29,NA,NA,20,25,22,38,37,31,42,37,31,38,32,42,42,49,35,38,NA,32,25,31,38,26,26,NA,37,NA,27,NA,NA,NA,47,NA,19,NA,NA,24,NA,NA,38,NA,NA,15,,,
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
South Dakota,NA,NA,NA,NA,3,NA,1,7,11,8,10,8,13,5,6,10,10,13,NA,16,17,22,14,NA,NA,NA,7,11,NA,13,17,15,NA,NA,27,NA,11,NA,NA,NA,29,NA,26,NA,NA,16,NA,NA,21,NA,NA,23,,,
Texas,4,26,24,16,8,20,13,40,16,20,15,11,23,38,10,22,13,14,22,41,27,16,18,49,24,26,10,26,14,16,19,15,NA,16,18,NA,38,NA,29,NA,17,NA,48,NA,NA,9,NA,NA,17,NA,NA,24,,,
Washington,80,NA,NA,2,13,51,NA,28,NA,NA,NA,NA,2,20,10,37,18,78,42,31,42,33,15,26,32,NA,NA,21,17,23,19,29,23,29,17,NA,12,NA,18,NA,31,NA,23,NA,NA,25,NA,NA,20,NA,NA,9,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. average 1/,34,35,37,39,36,39,36,36,38,36,37,35,37,41,34,43,40,47,41,48,46,36,44,43,52,46,44,43,39,35,38,38,40,42,39,39,39,41,43,NA,31,NA,28,NA,NA,21,NA,NA,24,NA,NA,30,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = Not available. Source data cover selected States in selected years; NA reflects State/crop/nutrient instances with no coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  U.S. average is average of State's application rates, weighted by State's planted acres of winter, durum and spring wheat receiving fertilizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Taylor (1964-93), NASS' Agricultural Chemical Usage (1994-2012).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
