"Table 28. Nitrogen used on wheat, rate per fertilized acre receiving nitrogen, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,
Mississippi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Missouri,36,40,44,51,44,53,61,49,78,79,53,50,63,61,53,58,68,70,69,76,72,72,73,87,90,86,84,89,77,84,86,101,101,NA,103,105,NA,86,NA,89,124,NA,94,NA,NA,96,NA,NA,93,NA,NA,79,,,
Montana,5,10,11,6,9,8,10,12,14,14,13,11,17,20,24,28,23,23,36,32,40,28,30,38,38,34,44,33,32,35,47,44,44,51,45,55,NA,57,NA,43,53,NA,54,NA,NA,56,NA,NA,59,NA,NA,66,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,42,42,34,27,34,36,40,43,40,51,45,43,48,48,43,49,45,50,47,49,49,45,46,56,43,41,50,42,47,48,43,48,48,44,54,43,NA,49,NA,48,57,NA,54,NA,NA,57,NA,NA,55,NA,NA,53,,,
North Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,,,
North Dakota,9,9,10,10,11,14,15,18,18,23,21,25,32,33,33,41,43,39,NA,46,43,38,44,51,47,41,42,50,55,66,75,63,64,66,70,69,NA,72,NA,72,104,NA,69,NA,NA,74,NA,NA,88,NA,NA,94,,,
Ohio,26,34,34,42,39,37,37,42,43,41,40,49,56,61,46,56,69,74,65,58,65,77,72,71,70,79,75,77,89,79,82,85,85,NA,85,89,NA,102,NA,84,100,NA,89,NA,NA,94,NA,NA,90,NA,NA,77,,,
Oklahoma,29,31,38,33,39,41,47,49,49,61,54,45,54,57,58,60,65,64,63,56,65,67,64,64,70,75,65,67,73,68,69,72,71,54,65,61,NA,66,NA,63,100,NA,56,NA,NA,55,NA,NA,63,NA,NA,53,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,41,60,39,52,56,47,41,55,46,47,69,66,78,72,67,74,73,90,65,87,66,66,79,72,73,75,NA,58,63,62,63,69,69,76,90,72,NA,62,NA,NA,78,NA,64,NA,NA,57,NA,NA,80,NA,NA,47,,,
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
South Dakota,13,22,15,14,19,23,20,19,27,24,23,21,30,28,24,19,27,44,NA,32,21,32,46,39,42,54,39,41,42,51,52,44,44,49,58,56,NA,57,NA,NA,89,NA,69,NA,NA,78,NA,NA,77,NA,NA,87,,,
Texas,76,56,62,84,69,85,80,101,82,103,82,74,72,77,112,93,74,70,83,91,95,77,68,90,80,89,88,86,77,79,89,85,84,81,84,74,NA,85,NA,74,86,NA,62,NA,NA,47,NA,NA,55,NA,NA,52,,,
Washington,38,53,56,69,86,79,64,60,63,67,69,70,69,71,76,65,73,67,82,76,83,74,73,69,69,66,65,72,75,65,71,77,77,83,69,71,NA,60,NA,73,91,NA,82,NA,NA,78,NA,NA,81,NA,NA,79,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. average 1/,27,31,32,35,36,38,39,40,46,48,46,46,51,53,52,54,58,58,59,60,62,60,60,62,64,62,59,62,63,64,67,65,65,67,67,69,68,68,68,67,90,NA,65,NA,NA,65,NA,NA,69,NA,NA,69,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = Not available. Source data cover selected States in selected years; NA reflects State/crop/nutrient instances with no coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  U.S. average is average of State's application rates, weighted by State's planted acres of winter, durum and spring wheat receiving fertilizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Taylor (1964-93), NASS' Agricultural Chemical Usage (1994-2012).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
