"Table 22. Nitrogen used on soybeans, rate per fertilized acre receiving nitrogen, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Mississippi,44,10,24,17,2,19,17,17,27,19,23,17,17,22,17,17,13,24,15,12,16,16,16,10,37,16,43,29,17,16,NA,13,13,16,19,22,23,NA,22,NA,NA,NA,10,NA,NA,NA,NA,NA,23,NA,NA,15
Missouri,7,14,8,16,11,12,10,14,17,10,17,26,12,13,17,19,22,14,21,23,22,12,14,31,24,25,21,19,23,21,31,56,21,24,21,15,26,20,18,NA,24,NA,18,NA,NA,NA,NA,NA,18,NA,NA,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,2,9,21,9,32,27,32,11,14,19,27,22,23,25,23,21,30,19,23,21,13,18,14,15,32,16,32,15,17,14,21,40,12,18,15,17,14,21,16,NA,20,NA,13,NA,NA,NA,NA,NA,13,NA,NA,16
North Carolina,NA,NA,13,12,13,15,13,15,13,14,17,12,12,14,18,17,15,18,16,20,16,16,13,23,14,24,16,18,20,19,NA,41,NA,64,24,21,24,NA,29,NA,NA,NA,21,NA,NA,NA,NA,NA,20,NA,NA,22
North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,26,NA,25,NA,13,NA,NA,NA,NA,NA,37,NA,NA,10
Ohio,11,10,7,9,10,10,11,12,12,12,13,11,11,12,15,12,12,14,10,10,14,13,14,13,17,14,11,17,15,17,18,14,34,16,20,15,20,24,15,NA,22,NA,14,NA,NA,NA,NA,NA,15,NA,NA,17
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,NA,NA,15,16,17,17,17,13,18,15,21,14,17,15,NA,19,13,18,20,11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,17,25,NA,NA,NA,36,27,21,14,NA,20,NA,22,NA,17,NA,NA,NA,NA,NA,13,NA,NA,11
Tennessee,NA,NA,14,16,14,13,13,14,15,24,15,17,19,18,17,14,16,14,14,20,16,19,18,20,34,21,30,25,28,27,NA,31,40,19,18,17,14,NA,30,NA,NA,NA,25,NA,NA,NA,NA,NA,24,NA,NA,26
Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,24,NA,NA,NA,NA,NA,23,NA,NA,25
Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,18,NA,15,NA,NA,NA,15,NA,NA,NA,NA,NA,17,NA,NA,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. average 1/,14,10,12,13,15,12,14,15,14,14,15,15,14,16,17,16,17,18,17,18,17,15,15,20,22,18,24,25,22,21,25,29,24,25,23,21,24,24,21,NA,28,NA,16,NA,NA,NA,NA,NA,16,NA,NA,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = Not available. Source data cover selected States in selected years; NA reflects State/crop/nutrient instances with no coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  U.S. average is average of State's application rates, weighted by State's planted acres receiving fertilizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Taylor (1964-93), NASS' Agricultural Chemical Usage (1994-2012).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
