"Table 30. Phosphate used on wheat, rate per fertilized acre receiving phosphate, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,
Mississippi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Missouri,27,32,32,38,37,42,41,39,38,50,53,41,39,49,46,47,52,49,45,53,50,43,44,46,52,54,51,51,49,52,46,53,NA,54,44,NA,50,NA,56,NA,60,NA,49,NA,NA,52,NA,NA,56,NA,NA,55,,,
Montana,14,18,20,18,18,18,20,23,22,23,25,24,31,27,30,30,28,27,33,31,32,30,28,28,27,26,29,27,24,26,25,24,28,25,28,NA,28,NA,25,NA,33,NA,25,NA,NA,25,NA,NA,28,NA,NA,29,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,29,33,33,39,31,34,32,33,44,34,34,35,36,36,39,36,40,40,32,34,30,31,33,40,29,30,27,29,29,24,30,31,32,34,23,NA,26,NA,33,NA,31,NA,33,NA,NA,31,NA,NA,34,NA,NA,35,,,
North Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,,,
North Dakota,23,22,23,23,25,25,27,26,26,28,25,24,25,28,26,28,26,25,NA,27,25,29,27,28,29,28,30,28,28,30,36,28,29,29,26,NA,28,NA,33,NA,45,NA,30,NA,NA,34,NA,NA,42,NA,NA,39,,,
Ohio,52,53,57,56,57,55,58,57,59,63,59,54,62,63,56,64,57,62,60,59,62,66,63,71,60,60,66,61,63,66,65,64,NA,64,60,NA,71,NA,65,NA,75,NA,64,NA,NA,50,NA,NA,54,NA,NA,55,,,
Oklahoma,26,28,30,30,31,32,32,37,36,47,38,31,34,37,30,35,38,40,35,36,35,33,37,35,30,36,34,35,33,38,36,32,32,33,31,NA,39,NA,32,NA,39,NA,35,NA,NA,30,NA,NA,31,NA,NA,28,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,38,26,77,32,30,35,24,65,35,25,40,62,47,45,48,45,38,40,33,42,37,40,31,37,34,44,NA,38,34,36,32,31,29,37,23,NA,22,NA,NA,NA,53,NA,29,NA,NA,20,NA,NA,21,NA,NA,12,,,
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
South Dakota,11,23,20,21,21,23,22,21,20,20,22,21,22,21,22,23,22,31,NA,27,23,27,26,29,25,28,27,30,26,25,23,28,28,33,31,NA,29,NA,NA,NA,49,NA,36,NA,NA,33,NA,NA,34,NA,NA,41,,,
Texas,25,26,52,49,47,54,33,37,37,52,37,25,35,41,47,39,38,46,39,46,51,46,35,52,39,41,37,39,41,40,41,38,44,33,37,NA,38,NA,40,NA,53,NA,30,NA,NA,25,NA,NA,31,NA,NA,24,,,
Washington,64,30,44,46,41,51,26,30,32,43,59,43,44,38,30,35,31,43,32,30,31,30,24,21,24,30,19,26,28,22,23,21,21,23,22,NA,18,NA,18,NA,26,NA,18,NA,NA,18,NA,NA,19,NA,NA,17,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. average 1/,27,30,32,32,32,34,30,34,37,38,38,35,37,39,35,38,39,39,37,39,37,35,36,35,37,37,36,36,34,34,35,33,34,33,33,33,33,34,35,35,45,NA,32,NA,NA,31,NA,NA,34,NA,NA,33,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = Not available. Source data cover selected States in selected years; NA reflects State/crop/nutrient instances with no coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  U.S. average is average of State's application rates, weighted by State's planted acres of winter, durum and spring wheat receiving fertilizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Taylor (1964-93), NASS' Agricultural Chemical Usage (1994-2012).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
