"Table 26. Potash used on soybeans, rate per fertilized acre receiving potash, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Mississippi,37,45,43,52,15,44,44,57,53,54,55,53,59,68,61,69,65,69,60,61,71,69,65,60,68,63,67,59,65,60,NA,59,62,88,72,56,70,NA,88,NA,NA,NA,83,NA,NA,NA,NA,NA,86,NA,NA,90
Missouri,29,40,35,33,39,45,37,39,43,46,55,61,59,60,65,72,82,77,66,68,76,60,69,67,74,69,63,68,59,64,70,80,71,80,73,70,69,57,87,NA,109,NA,67,NA,NA,NA,NA,NA,76,NA,NA,76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,4,3,24,7,18,23,11,12,22,16,14,16,24,20,18,18,32,20,14,22,12,13,10,15,16,23,32,20,10,30,21,14,17,21,25,24,9,26,28,NA,37,NA,25,NA,NA,NA,NA,NA,36,NA,NA,30
North Carolina,NA,NA,50,53,54,51,55,59,55,65,60,65,66,58,71,76,75,83,71,70,68,70,70,80,72,80,85,87,81,80,NA,87,NA,95,83,85,72,NA,91,NA,NA,NA,84,NA,NA,NA,NA,NA,83,NA,NA,84
North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,39,NA,15,NA,NA,NA,NA,NA,19,NA,NA,29
Ohio,27,40,31,31,39,33,37,39,47,51,50,38,47,47,52,53,64,89,71,73,102,74,81,96,102,93,105,91,89,94,103,85,102,114,97,94,92,88,103,NA,148,NA,93,NA,NA,NA,NA,NA,100,NA,NA,100
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,NA,NA,68,70,69,66,70,71,77,75,68,71,80,84,NA,89,84,82,79,81,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,18,NA,NA,NA,NA,23,8,27,23,NA,39,NA,36,NA,27,NA,NA,NA,NA,NA,33,NA,NA,26
Tennessee,NA,NA,34,37,42,35,41,41,46,45,44,45,46,55,60,63,58,60,55,60,60,63,57,66,61,61,56,58,69,69,NA,63,82,77,61,64,60,NA,73,NA,NA,NA,88,NA,NA,NA,NA,NA,81,NA,NA,96
Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,76,NA,NA,NA,NA,NA,83,NA,NA,82
Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,77,NA,73,NA,NA,NA,81,NA,NA,NA,NA,NA,90,NA,NA,87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. average 1/,37,39,41,42,45,48,51,48,51,55,55,53,60,60,62,67,70,76,68,70,72,72,71,75,79,74,81,76,75,79,82,85,85,88,81,78,76,84,89,NA,121,NA,80,NA,NA,NA,NA,NA,80,NA,NA,83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = Not available. Source data cover selected States in selected years; NA reflects State/crop/nutrient instances with no coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  U.S. average is average of State's application rates, weighted by State's planted acres receiving fertilizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Taylor (1964-93), NASS' Agricultural Chemical Usage (1994-2012).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
