Table 5. U.S. consumption of selected phosphate and potash fertilizers ,,,,,,,,,,,
,,,,,,,,,,,
,Phosphates,,,,,,,,,,
2002," 	18,496 "," 	328,971 ","355,725 ",," 	3,433,424 "," 	1,826,691 "," 	2,561,494 ",," 	5,341,799 "," 	480,137 ",
2003," 	21,164 "," 	250,038 ","201,126 ",," 	3,186,701 "," 	1,830,901 "," 	2,442,941 ",," 	5,454,374 "," 	669,143 ",
2004," 	21,421 "," 	213,702 ","266,579 ",," 	3,580,108 "," 	2,212,818 "," 	2,639,158 ",," 	6,011,176 "," 	827,025 ",
2005," 	15,635 "," 	191,061 ","262,045 ",," 	3,392,521 "," 	2,234,194 "," 	2,634,712 ",," 	5,577,417 "," 	804,916 ",
2006," 	8,993 "," 	173,939 ","230,781 ",," 	2,999,062 "," 	2,327,598 "," 	2,598,068 ",," 	4,889,824 "," 	800,355 ",
2007," 	8,621 "," 	142,133 ","286,356 ",," 	2,853,687 "," 	2,682,723 "," 	2,771,531 ",," 	5,790,888 "," 	810,272 ",
2008," 	5,194 "," 	120,821 ","280,330 ",," 	2,608,738 "," 	2,773,322 "," 	2,537,635 ",," 	5,514,846 "," 	763,255 ",
2009," 	4,963 "," 	72,419 ","267,610 ",," 	1,820,559 "," 	2,012,258 "," 	2,147,515 ",," 	3,338,415 "," 	625,827 ",
2010," 	6,721 "," 	78,185 ","259,392 ",," 	2,320,718 "," 	2,603,967 ","2,905,922 ",," 	5,197,611 "," 	595,359 ",
2011," 	12,396 "," 	99,716 ","304,501 ",," 	2,480,916 "," 	2,655,372 ","3,020,569 ",," 	5,461,712 "," 	692,457 ",
2012," 	20,031 "," 	86,532 ","411,101 ",," 	2,525,984 "," 	2,668,409 ","1,557,884 ",," 	5,469,684 "," 	216,423 ",
2013," 	5,964 "," 	114,778 ","527,568 ",," 	2,789,604 "," 	2,799,651 ","2,242,190 ",," 	5,752,807 "," 	411,961 ",
2014," 	6,374 "," 	150,877 ","604,992 ",," 	2,900,807 "," 	2,779,654 ","2,096,495 ",," 	6,411,121 "," 	359,063 ",
"  NA = Not available. Data for ""Monoammonium phosphate"" and ""Other nitrogen-phosphate grades"" begin in 1988 and 1981, respectively.",,,,,,,,,,,
  1/ All other single-phosphate materials excluding superphosphoric acid.,,,,,,,,,,,
"  2/ 18-46-0 refers to the percentage of nitrogen, phosphate, and potash, respectively, contained",,,,,,,,,,,
"in this fertilizer material.  The 1960-74 tonnages exclude Alaska, Hawaii, and Puerto Rico.",,,,,,,,,,,
  3/ All nitrogen-phosphate materials other than diammonium phosphate and monoammonium phosphate.,,,,,,,,,,,
  4/ Other potash materials excluding potasium chloride and multiple-nutrient potash fertilizers. ,,,,,,,,,,,
"Source: USDA, Economic Research Service using data from Tennessee Valley Authority (TVA), Association of American Plant Food Control Officials (AAPFCO), and The Fertilizer Institute (TFI).",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
